city,date,tmax,tmean,tmin,precip
北京,2019-02-08,-1.6,-5.3,-7.9,0.0
北京,2019-02-09,-1.7,-5.3,-8.5,0.0
北京,2019-02-10,-1.0,-5.5,-8.7,0.0
北京,2019-02-11,2.7,-3.7,-9.9,0.0
北京,2019-02-12,-2.1,-4.1,-7.1,0.6
北京,2019-02-13,-0.3,-4.9,-8.4,0.0
北京,2019-02-14,-1.6,-4.1,-6.1,0.9
北京,2019-02-15,1.3,-3.5,-7.6,0.0
北京,2019-02-16,3.1,-3.4,-8.1,0.0
北京,2019-02-17,4.7,-2.2,-7.2,0.0
北京,2019-02-18,4.1,-0.4,-4.6,0.0
北京,2019-02-19,7.3,1.0,-2.8,0.2
北京,2019-02-20,7.6,0.4,-4.2,0.0
北京,2019-02-21,10.1,1.1,-4.5,0.0
北京,2019-02-22,10.8,3.2,-2.9,0.0
北京,2019-02-23,12.1,4.0,-3.4,0.0
北京,2019-02-24,12.4,4.5,-2.2,0.0
北京,2019-02-25,10.9,3.6,-1.5,0.0
北京,2019-02-26,10.4,3.6,-2.5,0.0
北京,2019-02-27,12.0,4.3,-4.0,0.0
北京,2019-02-28,13.9,5.5,-2.4,0.0
北京,2019-03-01,14.8,6.8,0.0,0.0
北京,2019-03-02,16.5,7.8,0.6,0.0
北京,2019-03-03,15.9,7.7,-0.4,0.0
北京,2019-03-04,16.9,8.5,0.5,0.0
北京,2019-03-05,17.1,9.6,1.0,0.0
北京,2019-03-06,10.6,6.3,0.7,0.0
北京,2019-03-07,13.0,4.8,-3.7,0.0
北京,2019-03-08,13.9,6.1,-1.0,0.0
北京,2019-03-09,13.9,8.0,2.5,0.0
北京,2019-03-10,13.0,7.1,1.5,2.3
北京,2019-03-11,16.1,8.0,-1.8,0.0
北京,2019-03-12,11.1,5.6,-2.1,0.0
北京,2019-03-13,16.7,7.9,-0.8,0.0
北京,2019-03-14,15.8,8.1,-0.3,0.2
北京,2019-03-15,14.8,8.1,2.5,0.0
北京,2019-03-16,20.1,9.5,0.0,0.0
北京,2019-03-17,20.5,11.3,1.4,0.0
北京,2019-03-18,21.7,12.7,4.8,0.0
北京,2019-03-19,25.2,14.9,4.0,0.0
北京,2019-03-20,21.0,15.6,10.9,3.0
北京,2019-03-21,12.6,7.8,4.0,0.0
北京,2019-03-22,14.7,6.9,-2.7,0.0
北京,2019-03-23,12.7,6.5,0.7,0.0
北京,2019-03-24,20.8,9.9,-0.5,0.0
北京,2019-03-25,21.4,12.3,2.4,0.0
北京,2019-03-26,18.9,11.4,4.6,0.0
北京,2019-03-27,21.2,11.6,3.6,0.1
北京,2019-03-28,10.3,6.7,2.6,0.2
北京,2019-03-29,14.3,6.6,0.6,0.9
北京,2019-03-30,11.7,6.6,2.4,0.0
北京,2019-03-31,16.0,8.0,-1.3,0.0
北京,2019-04-01,15.9,9.1,1.1,0.0
北京,2019-04-02,18.2,10.3,1.7,0.0
北京,2019-04-03,20.4,11.2,1.1,0.0
北京,2019-04-04,30.5,17.6,5.3,0.0
北京,2019-04-05,22.3,14.8,8.2,0.0
北京,2019-04-06,20.3,13.2,6.3,0.0
北京,2019-04-07,19.8,12.0,4.9,0.0
北京,2019-04-08,17.2,11.1,4.3,0.0
北京,2019-04-09,11.1,8.6,5.6,2.0
北京,2019-04-10,17.8,10.9,2.2,0.0
北京,2019-04-11,18.1,13.3,8.6,0.0
北京,2019-04-12,22.5,14.4,6.1,0.0
北京,2019-04-13,21.6,14.8,7.2,0.6
北京,2019-04-14,23.6,16.2,5.2,0.0
北京,2019-04-15,26.6,17.8,7.4,0.0
北京,2019-04-16,26.6,19.3,11.7,0.0
北京,2019-04-17,29.2,21.1,14.1,0.0
北京,2019-04-18,23.7,18.6,12.2,0.0
北京,2019-04-19,20.2,14.8,10.9,1.1
北京,2019-04-20,12.3,10.8,9.5,1.8
北京,2019-04-21,23.0,14.9,7.7,0.0
北京,2019-04-22,26.8,17.4,7.6,0.0
北京,2019-04-23,28.9,21.6,14.6,0.0
北京,2019-04-24,19.1,15.0,6.5,13.8
北京,2019-04-25,16.9,11.4,5.5,4.6
北京,2019-04-26,19.0,13.6,8.8,1.9
北京,2019-04-27,13.0,10.3,6.6,5.3
北京,2019-04-28,17.7,11.4,5.4,0.0
北京,2019-04-29,22.7,15.3,9.6,0.0
北京,2019-04-30,24.3,18.0,10.8,0.0
北京,2019-05-01,28.1,20.2,11.5,0.0
北京,2019-05-02,29.9,20.7,9.5,0.0
北京,2019-05-03,29.1,21.3,13.4,0.0
北京,2019-05-04,28.4,22.5,16.7,0.0
北京,2019-05-05,22.6,18.7,15.4,0.0
北京,2019-05-06,24.9,17.7,8.1,0.0
北京,2019-05-07,28.3,20.4,9.9,0.0
北京,2019-05-08,25.8,19.7,14.6,0.0
北京,2019-05-09,30.4,22.5,13.5,0.0
北京,2019-05-10,30.0,22.6,14.8,0.0
北京,2019-05-11,28.7,22.2,15.6,0.0
北京,2019-05-12,24.8,18.7,14.9,0.9
北京,2019-05-13,24.7,17.6,8.5,0.0
北京,2019-05-14,28.3,19.8,10.2,0.0
北京,2019-05-15,30.3,23.0,15.7,0.0
北京,2019-05-16,33.4,25.3,16.2,0.0
北京,2019-05-17,32.6,24.2,18.6,1.4
北京,2019-05-18,26.6,21.9,18.3,1.1
北京,2019-05-19,24.5,19.0,13.9,7.7
北京,2019-05-20,25.9,18.8,11.5,0.0
北京,2019-05-21,30.9,21.8,11.2,0.0
北京,2019-05-22,34.7,24.1,13.4,0.0
北京,2019-05-23,37.1,27.3,18.2,0.0
北京,2019-05-24,34.9,26.7,17.7,0.0
北京,2019-05-25,34.7,27.2,19.7,0.0
北京,2019-05-26,25.1,22.7,19.7,11.1
北京,2019-05-27,27.8,22.1,17.0,0.0
北京,2019-05-28,31.8,23.2,11.9,0.0
北京,2019-05-29,32.7,25.4,17.8,0.0
北京,2019-05-30,31.0,25.4,20.9,0.0
北京,2019-05-31,30.8,23.7,15.5,0.0
北京,2019-06-01,28.6,23.8,18.8,0.0
北京,2019-06-02,33.2,24.9,16.5,0.0
北京,2019-06-03,32.8,25.9,19.0,0.0
北京,2019-06-04,28.6,23.3,18.8,0.6
北京,2019-06-05,30.1,24.2,18.5,0.0
北京,2019-06-06,25.1,21.6,19.2,12.0
北京,2019-06-07,30.0,23.8,17.4,0.0
北京,2019-06-08,33.1,25.8,17.8,0.1
北京,2019-06-09,32.0,26.1,21.4,0.0
北京,2019-06-10,33.5,26.1,17.8,0.0
北京,2019-06-11,32.9,25.3,17.8,0.0
北京,2019-06-12,33.8,27.1,20.2,0.0
北京,2019-06-13,31.4,26.9,23.0,3.1
北京,2019-06-14,35.6,28.1,20.3,0.0
北京,2019-06-15,32.0,25.8,19.8,0.0
北京,2019-06-16,23.4,20.8,18.2,9.3
北京,2019-06-17,28.2,23.0,18.2,0.0
北京,2019-06-18,32.3,25.9,18.4,0.0
北京,2019-06-19,32.4,26.5,21.7,0.1
北京,2019-06-20,35.3,28.3,22.4,0.0
北京,2019-06-21,30.1,26.5,23.7,0.1
北京,2019-06-22,35.1,28.4,20.9,0.0
北京,2019-06-23,35.4,29.0,23.3,0.0
北京,2019-06-24,37.9,30.1,21.8,0.0
北京,2019-06-25,35.7,30.4,24.6,0.0
北京,2019-06-26,35.5,29.4,23.6,0.0
北京,2019-06-27,36.2,29.3,23.0,0.0
北京,2019-06-28,33.1,28.0,24.0,8.7
北京,2019-06-29,34.4,28.2,22.3,0.0
北京,2019-06-30,34.0,27.8,23.3,0.0
北京,2019-07-01,34.4,27.8,20.4,0.0
北京,2019-07-02,34.6,28.0,22.5,0.1
北京,2019-07-03,37.1,29.6,20.9,0.0
北京,2019-07-04,38.9,32.4,24.6,0.0
北京,2019-07-05,33.0,28.1,23.0,22.0
北京,2019-07-06,27.3,23.2,20.6,8.1
北京,2019-07-07,27.8,22.8,19.1,7.1
北京,2019-07-08,29.3,24.5,19.2,0.0
北京,2019-07-09,25.8,23.6,21.2,1.1
北京,2019-07-10,27.5,22.9,20.0,7.6
北京,2019-07-11,29.7,24.4,19.0,0.2
北京,2019-07-12,33.1,26.7,20.1,0.0
北京,2019-07-13,32.5,27.3,22.1,1.3
北京,2019-07-14,32.2,27.4,22.9,0.0
北京,2019-07-15,33.4,28.3,22.5,0.0
北京,2019-07-16,33.2,28.5,23.7,0.4
北京,2019-07-17,28.0,25.5,23.0,23.8
北京,2019-07-18,31.6,27.1,22.8,0.4
北京,2019-07-19,31.8,27.8,24.0,0.1
北京,2019-07-20,29.6,26.6,24.3,2.5
北京,2019-07-21,36.2,29.9,24.2,0.0
北京,2019-07-22,31.6,28.6,26.4,14.5
北京,2019-07-23,33.3,28.9,24.6,47.9
北京,2019-07-24,34.8,29.7,24.3,0.0
北京,2019-07-25,34.4,30.7,25.9,0.0
北京,2019-07-26,34.8,29.3,24.4,0.0
北京,2019-07-27,35.9,30.8,25.4,0.0
北京,2019-07-28,35.0,29.9,25.9,1.9
北京,2019-07-29,29.0,25.8,21.9,48.2
北京,2019-07-30,31.7,26.4,20.1,0.0
北京,2019-07-31,33.8,28.7,23.0,0.0
北京,2019-08-01,31.0,27.9,24.8,14.1
北京,2019-08-02,27.1,25.3,22.9,3.5
北京,2019-08-03,29.6,25.6,21.2,0.5
北京,2019-08-04,29.3,26.0,23.8,10.9
北京,2019-08-05,29.2,25.0,22.4,13.2
北京,2019-08-06,29.6,25.3,22.4,6.2
北京,2019-08-07,29.1,25.7,22.9,3.3
北京,2019-08-08,30.7,26.7,22.7,0.2
北京,2019-08-09,30.3,26.6,24.1,11.6
北京,2019-08-10,26.4,24.2,22.7,19.8
北京,2019-08-11,25.4,23.8,22.6,7.1
北京,2019-08-12,28.7,24.9,22.9,11.7
北京,2019-08-13,30.9,26.1,22.1,1.0
北京,2019-08-14,31.3,26.0,21.7,0.0
北京,2019-08-15,31.6,25.9,20.7,5.5
北京,2019-08-16,29.5,25.0,21.3,1.6
北京,2019-08-17,30.9,24.7,19.9,0.0
北京,2019-08-18,30.3,23.8,17.7,0.0
北京,2019-08-19,30.4,25.5,19.8,0.0
北京,2019-08-20,25.1,22.9,20.3,6.7
北京,2019-08-21,30.8,24.2,17.3,0.0
北京,2019-08-22,30.7,23.8,18.2,0.0
北京,2019-08-23,30.6,24.1,18.2,0.0
北京,2019-08-24,31.3,25.2,19.1,0.0
北京,2019-08-25,30.5,24.3,17.7,0.0
北京,2019-08-26,27.8,23.6,20.0,0.0
北京,2019-08-27,33.4,25.7,17.5,0.0
北京,2019-08-28,31.0,25.7,18.4,0.0
北京,2019-08-29,30.5,24.7,18.5,0.0
北京,2019-08-30,30.5,25.4,19.8,0.0
北京,2019-08-31,32.0,25.1,17.6,0.0
北京,2019-09-01,33.0,26.1,19.2,0.0
北京,2019-09-02,34.2,26.2,18.1,0.0
北京,2019-09-03,33.9,26.5,19.2,0.0
北京,2019-09-04,32.3,26.1,19.7,0.0
北京,2019-09-05,33.3,26.4,19.1,0.0
北京,2019-09-06,33.9,26.7,19.9,0.0
北京,2019-09-07,35.3,27.9,20.0,0.0
北京,2019-09-08,36.1,29.1,22.2,0.0
北京,2019-09-09,34.1,26.9,20.8,3.4
北京,2019-09-10,23.0,20.9,19.4,29.3
北京,2019-09-11,25.0,21.4,19.0,0.0
北京,2019-09-12,25.0,21.4,18.8,2.9
北京,2019-09-13,27.5,22.1,19.2,12.1
北京,2019-09-14,28.6,22.5,17.6,0.0
北京,2019-09-15,27.2,21.3,15.1,0.0
北京,2019-09-16,26.4,20.8,14.7,0.0
北京,2019-09-17,28.0,21.4,15.5,0.0
北京,2019-09-18,25.2,19.7,13.4,0.0
北京,2019-09-19,27.0,18.9,12.9,0.0
北京,2019-09-20,28.1,20.9,14.4,0.0
北京,2019-09-21,27.4,21.5,15.5,0.0
北京,2019-09-22,27.4,21.5,16.3,0.0
北京,2019-09-23,30.9,23.2,16.6,0.0
北京,2019-09-24,31.2,24.4,19.2,0.0
北京,2019-09-25,31.1,22.7,14.5,0.0
北京,2019-09-26,30.6,22.8,15.8,0.0
北京,2019-09-27,29.4,21.4,14.2,0.0
北京,2019-09-28,30.0,22.3,14.9,0.0
北京,2019-09-29,31.3,23.2,16.5,0.0
北京,2019-09-30,31.1,23.4,16.1,0.0
北京,2019-10-01,31.0,24.5,18.4,0.0
北京,2019-10-02,30.6,23.1,16.4,0.0
北京,2019-10-03,31.5,23.9,18.3,0.0
北京,2019-10-04,20.9,14.0,11.7,12.7
北京,2019-10-05,18.0,12.9,8.6,0.0
北京,2019-10-06,17.7,13.1,8.6,0.0
北京,2019-10-07,22.9,15.5,8.3,0.0
北京,2019-10-08,20.4,15.2,10.0,0.0
北京,2019-10-09,22.6,15.3,9.1,0.0
北京,2019-10-10,21.0,16.1,12.4,0.0
北京,2019-10-11,20.0,15.8,12.2,0.0
北京,2019-10-12,18.1,15.7,13.7,0.1
北京,2019-10-13,14.6,11.5,6.6,4.7
北京,2019-10-14,14.3,8.7,3.5,0.0
北京,2019-10-15,16.0,9.8,3.8,0.0
北京,2019-10-16,15.2,11.1,7.0,0.0
北京,2019-10-17,14.0,10.9,7.9,2.1
北京,2019-10-18,18.0,12.0,6.1,0.0
北京,2019-10-19,19.5,12.8,7.0,0.0
北京,2019-10-20,21.4,14.9,9.2,0.0
北京,2019-10-21,18.6,12.0,6.0,0.0
北京,2019-10-22,19.7,12.1,5.9,0.0
北京,2019-10-23,21.0,14.2,8.5,0.0
北京,2019-10-24,15.4,12.2,7.9,3.0
北京,2019-10-25,13.3,7.9,3.7,0.0
北京,2019-10-26,15.5,7.9,2.2,0.0
北京,2019-10-27,17.1,9.2,3.0,0.0
北京,2019-10-28,14.1,10.1,4.5,0.0
北京,2019-10-29,15.7,8.2,2.0,0.0
北京,2019-10-30,19.4,10.5,3.3,0.0
北京,2019-10-31,23.4,14.2,6.4,0.0
北京,2019-11-01,17.7,11.8,6.4,0.0
北京,2019-11-02,15.1,12.0,9.2,0.8
北京,2019-11-03,13.7,10.6,6.3,1.2
北京,2019-11-04,15.9,9.5,3.3,0.0
北京,2019-11-05,16.1,10.0,5.4,0.0
北京,2019-11-06,14.6,10.2,7.9,0.0
北京,2019-11-07,11.3,7.3,3.6,0.0
北京,2019-11-08,14.4,6.6,0.4,0.0
北京,2019-11-09,14.0,8.3,2.8,2.1
北京,2019-11-10,16.6,11.0,7.9,14.0
北京,2019-11-11,16.5,9.9,3.7,0.0
北京,2019-11-12,15.6,10.7,6.9,0.0
北京,2019-11-13,14.9,5.7,-0.7,0.0
北京,2019-11-14,5.5,0.9,-2.8,0.0
北京,2019-11-15,8.5,3.5,-2.1,0.0
北京,2019-11-16,9.6,6.9,4.6,0.0
北京,2019-11-17,10.1,6.1,-1.4,0.0
北京,2019-11-18,3.9,-1.2,-4.7,0.0
北京,2019-11-19,6.4,0.5,-4.3,0.0
北京,2019-11-20,5.9,0.2,-4.9,0.0
北京,2019-11-21,6.1,1.7,-1.3,0.2
北京,2019-11-22,10.4,4.3,-1.5,0.0
北京,2019-11-23,13.4,8.7,4.7,0.0
北京,2019-11-24,9.1,3.4,-3.2,0.0
北京,2019-11-25,1.7,-2.6,-5.6,0.0
北京,2019-11-26,4.2,-1.7,-5.9,0.0
北京,2019-11-27,3.3,-0.2,-5.7,0.0
北京,2019-11-28,1.4,-3.4,-6.9,0.0
北京,2019-11-29,3.6,-1.3,-4.9,0.6
北京,2019-11-30,6.4,0.0,-4.5,0.9
北京,2019-12-01,3.3,-0.6,-3.5,0.0
北京,2019-12-02,4.8,-1.1,-6.0,0.0
北京,2019-12-03,8.9,0.8,-5.4,0.0
北京,2019-12-04,9.3,1.6,-3.3,0.0
北京,2019-12-05,1.8,-2.8,-5.8,0.0
北京,2019-12-06,2.2,-3.4,-7.5,0.0
北京,2019-12-07,4.4,-1.7,-5.2,0.0
北京,2019-12-08,3.0,-3.0,-6.3,0.0
北京,2019-12-09,6.4,-2.0,-7.5,0.0
北京,2019-12-10,8.9,0.1,-5.7,0.0
北京,2019-12-11,2.7,-1.1,-5.9,0.0
北京,2019-12-12,3.5,-3.3,-6.8,0.0
北京,2019-12-13,9.2,-0.2,-5.1,0.0
北京,2019-12-14,4.2,-1.5,-4.9,0.0
北京,2019-12-15,3.7,-0.5,-5.0,0.1
北京,2019-12-16,2.3,-0.1,-2.0,4.9
北京,2019-12-17,4.3,0.9,-3.4,0.0
北京,2019-12-18,0.4,-3.7,-6.9,0.0
北京,2019-12-19,0.5,-3.0,-5.8,0.0
北京,2019-12-20,0.9,-4.8,-7.6,0.0
北京,2019-12-21,2.8,-3.6,-8.7,0.0
北京,2019-12-22,3.8,-2.4,-6.2,0.0
北京,2019-12-23,0.9,-1.7,-5.0,0.0
北京,2019-12-24,1.8,-1.1,-4.0,0.0
北京,2019-12-25,4.8,-1.1,-5.1,0.0
北京,2019-12-26,3.3,-1.8,-5.3,0.0
北京,2019-12-27,2.9,-3.0,-6.5,0.0
北京,2019-12-28,3.4,-2.2,-5.5,0.0
北京,2019-12-29,6.5,-0.5,-5.4,0.0
北京,2019-12-30,-3.9,-7.3,-9.7,0.0
北京,2019-12-31,-3.6,-8.1,-12.2,0.0
北京,2020-01-01,-0.7,-6.1,-10.7,0.0
北京,2020-01-02,2.4,-4.2,-9.8,0.0
北京,2020-01-03,6.0,-1.4,-6.8,0.0
北京,2020-01-04,7.0,0.0,-4.8,0.0
北京,2020-01-05,3.1,-1.1,-5.5,1.8
北京,2020-01-06,4.7,0.0,-3.4,1.3
北京,2020-01-07,4.6,0.7,-1.4,0.0
北京,2020-01-08,3.7,-1.5,-4.8,0.0
北京,2020-01-09,1.9,-3.0,-6.4,0.0
北京,2020-01-10,5.8,-1.3,-5.3,0.0
北京,2020-01-11,0.1,-2.5,-4.7,0.0
北京,2020-01-12,2.1,-2.9,-6.0,0.0
北京,2020-01-13,1.1,-3.8,-6.8,0.0
北京,2020-01-14,-0.2,-4.4,-7.2,0.0
北京,2020-01-15,1.4,-4.4,-9.7,0.0
北京,2020-01-16,1.8,-3.1,-7.3,0.0
北京,2020-01-17,3.0,-2.9,-6.5,0.0
北京,2020-01-18,2.5,-2.1,-6.3,0.0
北京,2020-01-19,4.5,-0.9,-6.1,0.0
北京,2020-01-20,4.1,-0.6,-3.5,0.0
北京,2020-01-21,3.8,-2.2,-5.5,0.0
北京,2020-01-22,5.0,-1.2,-5.0,0.0
北京,2020-01-23,7.0,-0.7,-5.5,0.0
北京,2020-01-24,4.1,-1.8,-5.8,0.0
北京,2020-01-25,4.6,-2.2,-6.2,0.0
北京,2020-01-26,3.6,-2.0,-6.2,0.0
北京,2020-01-27,4.4,-0.1,-3.4,0.0
北京,2020-01-28,5.8,0.4,-3.0,0.0
北京,2020-01-29,7.3,0.9,-2.5,0.0
北京,2020-01-30,5.4,-0.6,-5.1,0.0
北京,2020-01-31,9.2,0.1,-5.6,0.0
北京,2020-02-01,4.6,0.3,-4.2,0.1
北京,2020-02-02,4.8,0.2,-2.6,1.4
北京,2020-02-03,2.6,-2.8,-6.4,0.0
北京,2020-02-04,1.4,-2.8,-5.4,0.0
北京,2020-02-05,-4.7,-5.9,-8.4,0.3
北京,2020-02-06,-2.7,-5.4,-8.0,1.6
北京,2020-02-07,3.2,-4.0,-8.3,0.0
北京,2020-02-08,6.9,-0.6,-5.1,0.0
北京,2020-02-09,10.0,0.4,-5.5,0.0
北京,2020-02-10,11.3,2.3,-3.3,0.0
北京,2020-02-11,10.6,2.5,-3.3,0.0
北京,2020-02-12,11.4,3.2,-2.2,0.0
北京,2020-02-13,10.6,4.1,-1.5,1.9
北京,2020-02-14,6.8,0.5,-3.6,15.8
北京,2020-02-15,1.5,-2.8,-6.0,0.0
北京,2020-02-16,4.4,-0.8,-3.9,0.0
北京,2020-02-17,9.5,1.2,-4.5,0.0
北京,2020-02-18,11.1,3.0,-3.5,0.0
北京,2020-02-19,9.7,2.1,-3.4,0.0
北京,2020-02-20,7.8,1.7,-3.4,0.0
北京,2020-02-21,10.4,3.1,-3.5,0.2
北京,2020-02-22,9.8,3.1,-2.5,0.0
北京,2020-02-23,9.5,2.4,-3.2,0.0
北京,2020-02-24,11.6,5.3,-0.7,0.2
北京,2020-02-25,9.8,5.9,0.9,0.0
北京,2020-02-26,9.0,3.3,-2.7,0.0
北京,2020-02-27,7.2,2.8,-0.7,0.0
北京,2020-02-28,9.6,2.7,-3.4,0.0
北京,2020-02-29,4.7,2.5,-0.6,0.4
北京,2020-03-01,10.8,4.4,-2.0,0.0
北京,2020-03-02,11.4,3.1,-4.6,3.1
北京,2020-03-03,8.4,3.0,-2.6,0.0
北京,2020-03-04,7.2,1.2,-4.2,0.0
北京,2020-03-05,9.0,2.2,-3.6,0.0
北京,2020-03-06,11.1,4.1,-2.5,1.2
北京,2020-03-07,14.4,7.0,0.8,0.0
北京,2020-03-08,9.3,4.5,0.1,2.0
北京,2020-03-09,12.9,7.5,3.6,3.8
北京,2020-03-10,11.2,4.8,-3.4,0.0
北京,2020-03-11,14.6,4.6,-4.6,0.0
北京,2020-03-12,14.4,7.7,2.3,0.0
北京,2020-03-13,11.5,5.1,-2.9,0.0
北京,2020-03-14,15.1,7.3,-3.1,0.0
北京,2020-03-15,17.2,8.9,2.3,0.0
北京,2020-03-16,14.0,5.3,-2.1,0.0
北京,2020-03-17,20.3,10.9,0.6,0.0
北京,2020-03-18,24.5,12.6,3.7,0.0
北京,2020-03-19,17.4,10.5,4.2,0.0
北京,2020-03-20,24.6,13.0,2.9,0.0
北京,2020-03-21,18.3,12.4,6.8,0.0
北京,2020-03-22,21.2,12.0,2.8,0.0
北京,2020-03-23,22.7,13.3,5.8,0.0
北京,2020-03-24,19.1,11.6,4.4,0.0
北京,2020-03-25,23.0,15.7,8.4,0.3
北京,2020-03-26,15.4,8.9,4.4,4.7
北京,2020-03-27,13.9,6.9,-1.1,0.0
北京,2020-03-28,13.7,6.9,-2.4,0.0
北京,2020-03-29,17.3,9.2,0.1,0.0
北京,2020-03-30,19.6,11.9,3.5,0.0
北京,2020-03-31,20.5,13.5,7.5,0.2
北京,2020-04-01,14.9,10.8,5.6,0.0
北京,2020-04-02,20.3,11.7,2.7,0.0
北京,2020-04-03,24.1,15.1,5.8,0.0
北京,2020-04-04,17.2,12.8,8.0,0.0
北京,2020-04-05,18.5,11.1,3.4,0.0
北京,2020-04-06,23.9,15.2,5.9,0.0
北京,2020-04-07,18.1,13.5,8.5,0.0
北京,2020-04-08,17.4,10.7,3.5,0.4
北京,2020-04-09,13.4,9.6,6.6,0.0
北京,2020-04-10,16.9,11.3,4.8,0.0
北京,2020-04-11,22.6,14.2,5.2,0.0
北京,2020-04-12,23.9,16.9,10.0,0.0
北京,2020-04-13,26.6,16.6,5.9,0.0
北京,2020-04-14,26.2,18.2,9.6,0.0
北京,2020-04-15,25.2,18.8,11.7,0.4
北京,2020-04-16,20.3,15.0,11.0,7.1
北京,2020-04-17,22.5,16.5,11.4,0.0
北京,2020-04-18,21.6,15.6,8.2,0.0
北京,2020-04-19,22.7,16.6,11.6,1.1
北京,2020-04-20,15.7,11.6,6.9,0.0
北京,2020-04-21,12.7,8.3,4.1,0.0
北京,2020-04-22,15.7,9.1,1.5,0.0
北京,2020-04-23,18.8,11.9,5.4,0.0
北京,2020-04-24,29.7,18.3,5.5,0.0
北京,2020-04-25,22.5,16.8,12.0,0.0
北京,2020-04-26,21.7,15.4,7.9,0.0
北京,2020-04-27,24.2,16.1,6.7,0.0
北京,2020-04-28,29.3,20.1,10.8,0.0
北京,2020-04-29,29.7,22.3,16.3,0.0
北京,2020-04-30,33.6,24.1,14.7,0.0
北京,2020-05-01,34.8,26.0,17.2,0.0
北京,2020-05-02,33.2,26.7,20.5,0.0
北京,2020-05-03,27.9,22.5,18.1,0.0
北京,2020-05-04,19.8,16.3,12.0,0.2
北京,2020-05-05,26.7,17.5,9.3,0.0
北京,2020-05-06,26.9,19.7,13.2,0.0
北京,2020-05-07,23.3,18.0,13.9,3.8
北京,2020-05-08,18.1,15.1,12.3,10.8
北京,2020-05-09,20.7,15.6,9.9,0.0
北京,2020-05-10,24.3,18.5,10.4,0.0
北京,2020-05-11,28.1,20.6,13.5,0.0
北京,2020-05-12,27.0,20.2,11.0,0.0
北京,2020-05-13,29.8,21.4,12.1,0.0
北京,2020-05-14,30.4,23.8,17.2,0.0
北京,2020-05-15,23.4,19.4,15.6,0.0
北京,2020-05-16,26.2,19.3,14.9,0.3
北京,2020-05-17,22.0,17.2,11.5,0.0
北京,2020-05-18,27.4,20.3,13.9,0.0
北京,2020-05-19,30.1,22.7,15.2,0.0
北京,2020-05-20,28.6,22.8,14.7,0.0
北京,2020-05-21,24.4,19.5,15.0,6.1
北京,2020-05-22,30.9,22.1,14.5,0.0
北京,2020-05-23,27.8,21.8,16.6,1.4
北京,2020-05-24,29.4,23.6,17.5,0.0
北京,2020-05-25,24.2,20.6,16.5,0.5
北京,2020-05-26,27.8,22.1,15.7,0.0
北京,2020-05-27,29.9,22.6,14.9,0.0
北京,2020-05-28,32.8,23.8,13.6,0.0
北京,2020-05-29,32.2,24.1,16.8,0.0
北京,2020-05-30,31.5,24.8,17.4,0.0
北京,2020-05-31,27.9,21.4,17.2,4.9
北京,2020-06-01,30.3,21.9,13.3,0.1
北京,2020-06-02,33.0,23.9,14.1,0.0
北京,2020-06-03,34.5,27.0,19.1,0.0
北京,2020-06-04,31.5,24.7,19.5,0.0
北京,2020-06-05,30.6,24.0,17.0,0.0
北京,2020-06-06,31.5,24.3,16.2,0.0
北京,2020-06-07,36.6,27.6,18.2,0.0
